Domain Title,Control Title,Control Reference,Control Wording,Control Type,SOC  TSC Common Criteria,SOC  TSC Availability,SOC  TSC  Confidentiality,SOC TSC Privacy,ISO 27001 ISMS ,ISO 27002: 2013 Annex A,Cloud Service Customers ISO 27017,Cloud Service Providers ISO 27017,ISO 27018,PII Controller ISO 27701,PII Processor ISO 27701,ISO 22301,BSI C5,FedRAMP Tailored Control,Spanish ENS BASIC Control,Spanish ENS Medium Control,Spanish ENS High Control,ISMAP Control,PCI Control,Saudi CCC Control,EU Code of Conduct Control,NIST SP 800-171 Control,EUCS Basic Control,EUCS Substantial Control,EUCS High Control,SecNumCloud Control,IRAP Control
Security Incident,Cloud Customer Event Logging Requirements,CCF 282,"As a cloud service customer, [The Organization] has defined its requirements for event logging and verify that the cloud service meets those requirements. ",Process,,,,,,,A.12.4.1,,12.4.1,,,,"COS-03, PSS-01, PSS-04",,,,,16.1.7.13.PB,,,,,"OPS-12.1,  PSS-01.1","OPS-10.2, PSS-01.3, PSS-01.4",,,0120           
Security Incident,Cloud Logging Capabilities,CCF 283,The [The Organization] has provided  logging capabilities to its cloud service customers upon request.,Technology,,,,,,,,"12.4.1, CLD.12.4.5",12.4.1,,,,"PSS-01, PSS-04",,,,,"6.3.1.1.PB, 12.4.1.15.PB, 12.4.5.4.P, 12.4.5.5.P",,,,,"PI-01.2,  PI-01.3,  DOC-01.1,  PSS-01.1","OPS-14.2, DOC-01.2,  PSS-01.2, PSS-01.3, PSS-01.4","OPS-13.6,  OPS-14.3,  PSS-01.5",,
Security Incident,Intellectual Property Rights Complaints,CCF 284,The cloud service provider establishes a process for responding to intellectual property rights complaints. Revision histories and review periods are defined within the policies and standards themselves and the [The Organization] Policy Governance Policy. ,Process,,,,,,,,,,,,,,,,,,18.1.3.13.PB,,,,,,,,,
Security Incident,Cardholder Confirmed Events,CCF 285,"[The Organization] records the following information for confirmed events in the cardholder data environment: • user identification • type of event • date and time • event success or failure indication • origination of the event • identification of affected data, system component, or resource",Technology,,,,,,,,,,,,,,,,,,,"10.3, 10.3.1, 10.3.2, 10.3.3, 10.3.4, 10.3.5, 10.3.6",,,,,,,,
Third Party Management,Supplier Management Program,CCF 286,A supplier management program is in place. Components of this program include: - Maintaining a list of critical third-party suppliers. - Requirements for third-party suppliers to maintain their own security and privacy practices and procedures. ,Process,"CC1.3, CC2.3, CC3.4, CC6.1, CC6.4, CC6.5, CC9.2","A1.2, A1.3","C1.1, C1.2",,"Clause 6.1.2, Clause 6.1.3, Clause 7.4, Clause 8.1","A.6.1.3, A.7.2.1, A.9.2.6, A.13.2.1, A.13.2.2, A.13.2.3, A.14.2.7, A.15.1.1, A.15.1.2, A.15.1.3, A.15.2.1, A.15.2.2, A.18.1.2",,,,,,,"OIS-07, OPS-21, COS-01, COS-03, DEV-02, SSO-01, SSO-02, SSO-03, SSO-04, SSO-05, SIM-04","CA-3, PS-7, SA-1, SA-4, SA-9","org.4, op.pl.1","op.ext.1, op.ext.2","op.ext.1, op.ext.2","7.2.1, 9.2.6, 13.1.2, 13.1.2.2, 13.2.1, 13.2.2, 13.2.3, 14.2.7, 15.1.1, 15.1.1.14.B, 15.1.1.16.B, 15.1.2, 15.1.3, 15.1.3.10.P, 15.1.3.11.P, 15.2.1, 15.2.2, 18.1.2, 4.4.2.1, 4.4.7.1, 4.4.7.2, 4.4.7.3, 4.4.7.4, 4.4.8.1, 4.4.8.2, 4.4.8.3, 4.4.8.4, 4.4.8.5, 4.5.3.1, 4.5.4.1, 4.5.4.2, 4.5.4.3, 4.5.4.4, 4.5.4.5, 6.1.1.12","2.5, 2.6, 12.8.1, 12.8.3","4-1-P-1-2, 4-1-P-1-4, 1-5-3-3, 4-1-2-1, 4-1-2-2, 4-1-2-3, 4-1-3-1, 4-1-1, 4-1-4, 4-2-1, 4-2-2, 4-2-4","6.2.B, 6.2.F, 6.2.G, 6.2.L, 6.2.M, 6.2.N, 6.2.Q","3.2.1 Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.                ","PM-01.1,  PM-02.1,  PM-02.3,  PM-03.1,  PM-03.3,  PM-04.1,  PM-04.3,  PM-04.4,  PM-04.5","HR-06.5, OPS-18.5, PM-01.2, PM-02.2, PM-03.2, PM-04.2",PI-01.5,"15.1.a, 15.1.b, 15.2.a, 15.2.b, 15.2.c, 18.2.2.a",1631 1637 1395 0938 1460 0141 1452 1567 1568 1632 1638 1571  
Third Party Management,Supplier Exit Strategy,CCF 287,"For critical suppliers, exit strategies and/or alternative supplier relationships are established. ",Process,,,,,,,,,,,,,SSO-05,,,,op.ext.9,,,2-6-T-1,5.3.B,,PM-05.1,PM-05.2,,,1575
Third Party Management,Supplier Management Program,CCF 288,"At least annually, management reviews controls within third party assurance reports to ensure that they meet organizational requirements; if control gaps, significant changes, or reported incidents are identified in the assurance reports, management takes action to address the impact the disclosed gaps have on [The Organization].",Process,"CC1.3, CC2.3, CC3.4, CC6.1, CC6.4, CC6.5, CC9.2","A1.2, A1.3","C1.1, C1.2",,"Clause 6.1.2, Clause 6.1.3, Clause 7.4, Clause 8.1","A.6.1.3, A.7.2.1, A.9.2.6, A.13.2.1, A.13.2.2, A.13.2.3, A.14.2.7, A.15.1.1, A.15.1.2, A.15.1.3, A.15.2.1, A.15.2.2, A.18.1.2",,,,,,,"OIS-07, OPS-21, COS-01, COS-03, DEV-02, SSO-01, SSO-02, SSO-03, SSO-04, SSO-05, SIM-04","CA-3, PS-7, SA-1, SA-4, SA-9","org.4, op.pl.1",op.ext.1,op.ext.1,"7.2.1, 12.1.2, 13.1.2.1, 13.2.1, 13.2.2, 13.2.3, 14.2.5.7, 14.2.7, 15.1.1, 15.1.2, 15.1.3, 15.1.3.10.P, 15.1.3.11.P, 15.2.1, 15.2.2, 18.1.2, 4.4.2.1, 4.4.7.1, 4.4.7.2, 4.4.7.3, 4.4.7.4, 4.4.8.1, 4.4.8.2, 4.4.8.3, 4.4.8.4, 4.4.8.5, 4.5.1.1, 4.5.3.1, 4.5.4.1, 4.5.4.2, 4.5.4.3, 4.5.4.4, 4.5.4.5","2.5, 2.6, 9.5, 9.5.1, 12.8, 12.8.2, 12.8.3, 12.8.4, 12.8.5","2-9-T-1-2, 4-1-P-1-2, 4-1-P-1-3, 4-1-P-1-4, 1-5-3-3, 4-1-2-2, 4-1-3-1, 4-1-4, 4-2-1, 4-2-2","6.2.C, 6.2.F, 6.2.G, 6.2.L, 6.2.M, 6.2.N, 6.2.Q",3.12.1 Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.                      ,"PM-01.1,  PM-02.1,  PM-02.3,  PM-02.4,  PM-02.5,  PM-03.3,  PM-04.1,  PM-04.3,  PM-04.4","PM-01.2, PM-02.2, PM-04.2, PM-04.6","PI-01.5,  PM-01.3,  PM-01.4,  PM-01.5,  PM-04.7","15.2.a, 15.3.a, 15.3.a, 15.4.a, 15.4.b, 15.5.a, 19.1.q",1631 1637 1395 0938 1460 0141 1452 1567 1568 1632 1638 1571  
Third Party Management,Suppliers residing in KSA,CCF 289,Contracts and agreements with third-party IT outsourced suppliers must include that cybersecurity managed services centers for monitoring and operations must be completely present inside the Kingdom of Saudi Arabia.,Process,,,,,,,,,,,,,,,,,,,,4-1-3-2,,,,,,,
Third Party Management,National Cybersecurity Authority requests,CCF 290,"[The Organization] evaluates all National Cybersecurity Authority requests to remove software or services provided by third-party providers for appropriateness, and will remove the software or service upon validation of the request. ",Process,,,,,,,,,,,,,,,,,,,,4-1-P-1-1,,,,,,,
Third Party Management,Incident Response Plan,CCF 291,[The Organization] has established an incident response plan that is tested at least annually to assess the effectiveness of the incident response program.,Process,"CC2.2, CC3.2, CC6.8, CC7.1, CC7.2, CC7.3, CC7.4, CC7.5, CC9.1",,,,,"A.6.1.5, A.16.1.1",,,,,,,"SIM-01, SIM-02","IR-2, IR-4, IR-5, IR-6, IR-7, IR-8, IR-9",mp.eq.3,op.mon.2,op.mon.2,"6.1.5, 16.1.1, 16.1.2","12.10.2, 12.10.6","2-12-P-1-3, 2-13-1, 2-13-2","6.2.B, 6.2.O","3.2.3 Provide security awareness training on recognizing and reporting potential indicators of insider threat.  3.6.1 Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.  3.6.2 Track, document, and report incidents to designated officials and/or authorities both internal and external to [The Organization].  3.6.3 Test [The Organization]al incident response capability.          ",OPS-20.1,OPS-20.2,"IM-01.8,  IM-02.4","13.3.a, 16.4.c",1626
Third Party Management,System Capacity Monitoring,CCF 292,System capacity is evaluated continuously and system changes are implemented to help ensure processing capacity can meet demand.,Technology,CC3.2,A1.1,,,,"A.6.1.5, A.12.1.3, A.17.1.1, A.17.1.2, A.17.1.3, A.17.2.1",,,,,,,"PS-02, OPS-01, OPS-02, OPS-03, OPS-17","CP-1, CP-2, CP-4, CP-10",,"op.pl.4, op.cont.1","op.pl.4, op.cont.1, op.cont.2","12.1.3,  12.1.3.9.PB, 17.1.1, 17.1.2, 17.1.3, 17.2.1",,,6.2.K,,"OPS-01.1,  OPS-02.1",,"AM-01.5,  OPS-01.3,  OPS-02.3",,1579 1581  
Third Party Management,Availability Monitoring,CCF 293,Critical [The Organization] are monitored in accordance to predefined availability criteria and alerts are sent to authorized personnel.,Technology,CC3.2,A1.1,,,,"A.6.1.5, A.12.1.3, A.17.1.1, A.17.1.2, A.17.1.3, A.17.2.1",,,,,,,"PS-02, PS-06, OPS-01, OPS-02, OPS-03, OPS-09, OPS-17","CP-1, CP-2, CP-4, CP-10",,"op.ext.2, op.cont.1","op.ext.2, op.cont.1","12.1.3,  12.1.3.9.PB, 13.1.1.5, 17.1.1, 17.1.2, 17.1.3, 17.2.1",,,6.2.K,3.14.3 Monitor system security alerts and advisories and take action in response.                    ,"OPS-01.1,  OPS-01.2,  OPS-01.2,  OPS-02.1",BC-03.3,"OPS-02.3,  OPS-16.2,  PM-04.7",11.7.d,1581 1435    
Third Party Management,Capacity Budgeting,CCF 294,Budgets for infrastructure capacity are established based on analysis of historical business activity and growth projections; purchases are made against the established budget and plans are updated at least annually.,Process,,,,,,,,,,,,,,SA-2,,,,,,,,,OPS-01.1,,OPS-01.3,,
Third Party Management,Master Service Agreements,CCF 295,"Master Purchase Agreements (including Master Services Agreements/MSAs, Enterprise Agreements, etc.) agreed to between [The Organization] and customers includes the Systems commitments to their customers with respect to the relevant product(s) and service(s) comprising the cloud offer. ",Process,"CC2.2, CC2.3",,,,,"A.13.2.1, A.13.2.2, A.13.2.3",,,,,,,"OIS-03, PI-02, PI-03, PSS-01",,,op.ext.1,op.ext.1,"13.2.1, 13.2.2, 13.2.3, 16.1.1.6.P, 18.1.1",,"2-3-P-1-9, 2-3-T-1, 2-15-3-4, 4-1-1","5.1.A, 5.1.B, 5.1.C, 6.2.G, 6.2.L, 6.2.Q, 6.3.A",,"PI-01.1,  PI-02.1,  CCM-01.1,  DOC-01.1,  DOC-03.1,  DOC-06.1,  DOC-06.2","OPS-11.3, CKM-03.3, CCM-03.4, CCM-04.2, IM-03.3, DOC-01.2, DOC-03.3, DOC-06.3, PSS-01.2","AM-01.5,  OPS-01.3,  CCM-02.4,  CCM-02.5,  PM-04.7,  PM-04.8","11.3.c, 11.7.a, 12.2.b, 19.1.a, 19.1.b, 19.1.c, 19.1.d, 19.1.e, 19.1.f, 19.1.g, 19.1.h, 19.1.i, 19.1.j, 19.1.k, 19.1.l, 19.1.m, 19.1.n, 19.1.o, 19.1.p, 19.1.q",0072       
Third Party Management,Supplier sharing agreements and review,CCF 296,Formal Legal Approved information sharing agreements are in place with related critical suppliers. These agreements include confidentiality commitments applicable to that entity. ,Process,"CC1.1, CC2.3, CC3.4, CC9.2",,"C1.1, C1.2",,Clause 4.2,"A.7.1.2, A.13.2.1, A.13.2.2, A.13.2.3, A.13.2.4, A.14.2.7, A.15.1.1, A.15.1.2, A.15.1.3, A.15.2.1, A.15.2.2, A.18.1.2",,,,,,,"HR-06, DEV-02, SSO-01, SSO-02","CA-3, PS-7, SA-9","org.2, org.4","op.ext.1, op.ext.2","op.ext.1, op.ext.2","6.1.1, 6.1.1.12, 6.1.1.13.PB, 7.1.2, 8.2.3.7, 10.1.2.19, 13.1.2, 13.1.2.2, 13.2.1, 13.2.2, 13.2.3, 13.2.4, 14.2.7, 15.1.1, 15.1.2, 15.1.3, 15.1.3.10.P, 15.1.3.11.P, 15.2.1, 15.2.2, 18.1.2, 4.4.3.1","2.5, 2.6, 12.8, 12.8.2","4-1-P-1-2, 1-5-3-3, 4-1-2-1, 4-1-2-2, 4-1-2-3, 4-1-1, 4-1-4, 4-2-1, 4-2-2, 4-2-4","6.2.C, 6.2.G, 6.2.L, 6.2.M, 6.2.N, 6.2.Q","3.2.1 Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.                ","PI-01.1,  PI-02.1,  PI-03.1,  PI-03.2,  PM-01.1","HR-06.3, HR-06.5, PI-03.3, PI-03.4, CCM-03.4, CCM-04.2, PM-01.2, PM-04.6","HR-06.7,  PI-01.5,  PM-04.8",15.2.a,1631 1395 0072 1572 1073 1576 0141 1569 1573 1575  
Third Party Management,Terms of Service,CCF 297,Consent is obtained for [The Organization] Terms of Service (ToS) prior to collecting customer or personal information.,Process,"CC2.2, CC2.3",,,,,"A.15.1.2, A.15.2.1, A.18.1.1, A.18.1.2, A.18.1.4",,,,,,,,,mp.info.1,"op.ext.1, op.ext.2","op.ext.1, op.ext.2","15.2.1, 16.1.1.6.P, 18.1.1, 18.1.2, 18.1.4, 3.1.5.3",,"2-3-P-1-9, 2-3-T-1, 2-15-3-4","5.1.A, 5.1.B, 5.1.C, 6.2.N",,,,,,
Third Party Management,Cloud Service Customer Assets,CCF 298,"Assets of the cloud service customer that are on the cloud service provider's premise are removed, and returned if necessary, in a timely manner upon termination of the cloud service agreement.  Return of assets is documented and information regarding the returned assets is provided to the customers.",Process,,,,,,,CLD.8.1.5,CLD.8.1.5,,,,,,,,,,"8.1.5.P, 8.1.5.1.P, 8.1.5.2.P, 8.1.5.3.P",,,,,PI-03.1,PI-03.5,,,
Third Party Management,Card Data storage,CCF 299,"[The Organization] does not store full track credit card data, credit card authentication information, credit card verification code, or credit personal identification number (PIN) which [The Organization] processes for payment.",Process,,,,,,,,,,,,,,,,,,,"3.2.a, 3.2.b, 3.2.c, 3.2.d, 3.2.1, 3.2.2, 3.2.3",,,,,,,,
Third Party Management,Cardholder data protection,CCF 300,"Where applicable, [The Organization] that manage, store, or transmit cardholder data on behalf of the customer  provide written acknowledgement to customers of their responsibility to protect cardholder data and the cardholder data environment.",Process,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,
Third Party Management,Agreement Change Disclosure,CCF 301,[The Organization] informs internal employees and suppliers of any changes to their non-disclosure agreements or legally approved information sharing agreements.,Process,,,,,,,,,,,,,,,,,,,,,,,,HR-06.6,,,
Third Party Management,Outsourced Development Requirements,CCF 302,Procedures are in place to supervise and control outsourced software and system development activities to ensure that outsourced development activities complay with Systems secured development policy.,Process,,,,,,,,,,,,,,,,,,,,,,,,,,14.5.a,
Third Party Management,Data Access for Non-EU Suppliers,CCF 303,"In the event [The Organization] requires assistance from a third party organization to provide services to a customer, and the third party organization is not based in a EU state, that third party should have no ability to access the data entrusted to [The Organization] by the customer. ",Process,,,,,,,,,,,,,,,,,,,,,,,,,,19.6.c,
Third Party Management,Supplier Management,CCF 304,"When a third party service provider is engaged to provide all or part of the service provided to customers, the [The Organization] validates that the third party service provider is either SecNumCloud qualified or the continuous operations of the third party in the provision of the service is provided to the client.",Process,,,,,,,,,,,,,,,,,,,,,,,,,,19.6.d,
Vulnerability Detection,BU Anti-Malware Technology,CCF 305,"Where applicable, [The Organization] has managed antivirus deployments and ensures the following: • signature definitions are updated • full scans are performed monthly and real-time scans are enabled • alerts are reviewed and resolved by authorized personnel",Technology,"CC3.2, CC6.1, CC6.7, CC6.8, CC7.1, CC7.2, CC7.3, CC7.4",,,,,"A.12.2.1, A.12.4.1",,,,,,,"OPS-04, OPS-05, DEV-10, PSS-02","CA-2, CA-7, RA-5, SI-2, SI-3","op.acc.6, op.exp.6, mp.s.1",,,"12.2.1, 13.2.1.2, 14.1.2, 14.1.3, 14.2.6, 18.1.3","5.1, 5.1.1, 5.1.2, 5.2.a, 5.2.b, 5.2.c, 5.2.d, 5.3.a, 5.3.b, 5.3.c","2-14-P-1-1, 2-16-P-3-2, 2-3-3-1, 2-5-3-8, 2-4-3-4, 2-3-1, 2-3-2, 2-3-4, 2-4-1, 2-4-2, 2-4-3-4, 5-1-2, 5-1-3-10",6.2.K,"3.7.4 Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.   3.13.1 Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.  3.14.2 Provide protection from malicious code at appropriate locations within organizational information systems.  3.14.4 Update malicious code protection mechanisms when new releases are available.  3.14.5 Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.             ","OIS-03.1,  AM-02.1,  OPS-04.1,  OPS-05.1","OPS-04.2, OPS-05.2","AM-01.5,  OPS-04.3,  OPS-05.3,  OPS-05.4",,1417 0657 0917 1390 1656      
Vulnerability Detection,Corporate Anti-Malware Technology,CCF 306,"Anti-malware technology is deployed for environments commonly susceptible to malicious attack and is configured to be updated routinely, logged, and installed on all employee workstations.",Technology,"CC6.7, CC6.8, CC7.1, CC7.2, CC7.3, CC7.4",,,,,"A.12.1.1, A.12.2.1, A.12.4.1",,,,,,,"OPS-04, OPS-05, PSS-02","CA-2, CA-7, RA-5, SI-2, SI-3","op.exp.6, mp.com.3, mp.s.1",,,"12.2.1, 12.2.1.6, 13.2.1.2, 14.1.2, 14.1.3, 14.2.6, 18.1.3","5.1, 5.1.1, 5.1.2, 5.2.a, 5.2.b, 5.2.c, 5.2.d, 5.3.a, 5.3.b, 5.3.c","2-14-P-1-1, 2-16-P-3-2, 2-3-3-1, 2-5-3-8, 2-4-3-4, 2-3-1, 2-3-2, 2-3-4, 2-4-1, 2-4-2, 2-4-3-4, 5-1-2, 5-1-3-10",6.2.K,"3.5.4 Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.  3.7.4 Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.   3.13.1 Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.  3.14.2 Provide protection from malicious code at appropriate locations within organizational information systems.  3.14.4 Update malicious code protection mechanisms when new releases are available.  3.14.5 Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.      ","AM-02.1,  OPS-04.1,  OPS-05.1","OPS-04.2, OPS-05.2, CS-01.3, IM-01.5","OPS-04.3,  OPS-04.4,  OPS-05.3","12.4.a, 12.6.b",1417 1288 0658 0917 1390 1656     
Vulnerability Detection,Antivirus logs,CCF 307,Systems antivirus deployments generate audit logs which are retained at least annually with the data immediately available for analysis.,Technology,,,,,,,,,,,,,,,,,,,"5.2.a, 5.2.b, 5.2.c, 5.2.d",,,,,CS-01.3,OPS-04.3,12.6.b,"1660, 1661, 1662"
Vulnerability Detection,Antivirus mechanism access,CCF 308,Antivirus mechanisms cannot be disabled or altered by users unless specifically authorized by management.,Technology,,,,,,,,,,,,,,,,,,,"5.3.a, 5.3.b, 5.3.c",,,,,,,,
Vulnerability Detection,Email Sandboxing,CCF 309,[The Organization] utilizes sandboxing to detect or block potentially malicious emails.,Technology,,,,,,,,,,,,,,,,,,,,"2-4-1, 2-4-2, 2-4-3-1, 2-4-3-5",,,,,,,
Vulnerability Detection,Network Vulnerability Scans,CCF 310,Internal and external network vulnerability scans are performed at least monthly. Identified vulnerabilities are assigned for remediation and monitored for closure.,Technology,"CC2.1, CC2.3, CC3.2, CC4.1, CC6.8, CC7.1, CC7.2, CC7.3, CC7.4",,,,"Clause 6.1.3, Clause 8.1, Clause 8.2, Clause 8.3, Clause 9.1, Clause 10.2","A.6.1.5, A.12.1.1, A.12.2.1, A.12.6.1, A.13.1.1, A.14.1.1, A.14.2.1, A.14.2.8, A.18.2.3",,,,,,,"OPS-04, OPS-05, OPS-18, OPS-19, OPS-20, OPS-22, OPS-23, PSS-02,  PSS-03, PSS-09","CA-2, CA-7, RA-5, SI-2, SI-3","org.1, op.pl.2, op.acc.7, op.exp.6, mp.com.3","op.exp.3,  mp.sw.1, mp.sw.2","op.exp.3,  mp.sw.1, mp.sw.2","6.1.5, 12.1.2.3, 12.5.1.18, 12.6.1, 13.1.1, 13.1.1.6, 14.1.1, 14.2.1, 14.2.8, 18.2.3, 3.1.4.4, 4.4.2.1, 4.4.8.1, 4.4.8.2, 4.4.8.3, 4.4.8.4, 4.4.8.5, 4.5.4.1, 4.5.4.2, 4.5.4.3, 4.5.4.4, 4.5.4.5, 4.5.5.1, 4.5.5.2, 4.5.5.3, 4.6.1.1, 4.6.2.1","5.1.2, 6.1.a, 6.1.b, 6.6, 11.2, 11.2.1.a, 11.2.1.b, 11.2.1.c, 11.2.2.a, 11.2.2.b, 11.2.2.c, 11.2.3.a, 11.2.3.b, 11.2.3.c, 11.3.3","2-9-P-1-1, 2-9-T-1-1, 2-9-T-1-2, 2-10-3-1, 2-10-3-2, 2-10-3-3, 2-13-3-5, 1-6-2-1, 2-5-1, 2-5-2, 2-10-1, 2-10-2, 2-13-1, 2-13-2, 5-1-2, 5-1-3-8","6.2.K, 6.2.L, 6.2.M, 6.2.P, 6.2.Q","3.1.16 Authorize wireless access prior to allowing such connections.  3.3.1 Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.   3.11.2 Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.   3.11.3 Remediate vulnerabilities in accordance with risk assessments.  3.12.2 Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.  3.14.1 Identify, report, and correct information and information system flaws in a timely manner.  3.14.5 Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.    ","OIS-03.1,  OPS-17.1,  OPS-17.3,  OPS-18.2,  OPS-18.3,  OPS-18.4,  OPS-19.1,  OPS-20.1,  CS-01.1,  DEV-06.1,  DEV-06.2","OPS-04.2, OPS-17.2, OPS-17.4, OPS-19.2, OPS-20.2, DEV-06.3, DEV-06.5","OPS-04.3,  OPS-19.4,  CS-01.5,  CO-03.5","12.11.a, 12.11.b",1163 1563 1564 1616 1240        
Vulnerability Detection,Penetration Testing,CCF 311,Penetration testing  is performed at least annually. All discovered vulnerabilities must be triaged for criticality and assigned for remediation compliant to the internal S-Rating and SLAs as defined in the internal Standard S-Rating Classification.,Process,"CC3.2, CC7.1, CC7.2, CC7.3, CC7.4",,,,,"A.6.1.4, A.6.1.5, A.12.2.1, A.12.6.1, A.18.2.3",,,,,,,"OPS-04, OPS-05, OPS-18, OPS-19, OPS-20, PSS-02","CA-2, CA-2 (1), IA-6, RA-5, SI-3",op.exp.6,mp.sw.2,mp.sw.2,"6.1.5, 12.6.1, 18.2.3, 4.4.2.1","6.1.a, 6.1.b, 11.3, 11.3.1.a, 11.3.1.b, 11.3.2.a, 11.3.2.b, 11.3.4.a, 11.3.4.b, 11.3.4.c, 11.3.4.1.a, 11.3.4.1.b","2-10-3-2, 2-10-3-3, 2-11-3-1, 2-11-3-2, 2-13-3-2, 1-6-2-1, 1-8-1, 2-10-1, 2-10-2, 2-11-1, 2-11-2, 2-11-4, 5-1-2, 5-1-3-8",6.2.K,"3.11.2 Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.   3.12.2 Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.   3.14.1 Identify, report, and correct information and information system flaws in a timely manner.                 ","OPS-17.1,  OPS-17.3,  OPS-18.2,  OPS-18.3,  OPS-18.4","OPS-04.2, OPS-17.2, OPS-17.4, OPS-19.2, OPS-19.3, CS-01.2, IM-01.5","OPS-04.3,  OPS-19.5,  OPS-19.6,  CS-01.5,  DEV-06.6,  IM-02.4","12.11.b, 18.2.1.a",1163 1563 1564         
Vulnerability Detection,Security Bulletin and Email Alerts,CCF 312,[The Organization] or Business Unit (BU) subscribes to relevant security bulletins and email alerts and uses them to monitor the impact of emerging technologies and security.,Process,,,,,,,"A.6.1.4, A.12.6.1, A.14.1.1","A.6.1.4, A.12.6.1, A.14.1.1",6.1.4,,,8.4.3.1,"OIS-05, PSS-03","SA-5, SI-5","org.3, op.pl.3",,,"6.1.4, 12.6.1, 14.1.1, 16.1.6","6.1.a, 6.1.b, 12.5.2","2-12-P-1-1, 2-16-P-3-1, 2-16-P-4, 2-5-3-8, 2-13-3-5, 2-4-3-4,  1-9-1, 1-9-2, 1-10-2, 1-10-3-1, 2-4-1, 2-4-2","6.2.B, 6.2.K, 6.2.M",3.14.3 Monitor system security alerts and advisories and take action in response.                    ,"OIS-03.1,  HR-04.3,  OPS-18.3,  OPS-18.4","OIS-03.2, OPS-18.5",,"6.3.a, 6.4.a",
Vulnerability Detection,Cloud Provider Vulnerability Detection,CCF 313,The cloud service provider provides information about the management of technical vulnerabilities that can impact customers.,Process,,,,,,,,12.6.1,,,,,"OIS-03, PSS-02, PSS-03",,,,,12.6.1.18.PB,,"2-9-P-1-2, 4-2-1, 4-2-2",,,"OPS-18.1,  OPS-18.2,  OPS-18.3,  OPS-18.4,  DEV-06.1,  DOC-02.1,  DOC-05.1,  DOC-05.2,  DOC-05.3","OPS-04.2, DOC-02.2, DOC-02.3, DOC-02.4, DOC-02.5",DOC-02.6,"12.2.c, 12.2.d",1616      
