Ref,Description,Ass. Level
PM-04.7,"The CSP shall supplement procedures for monitoring compliance with automatic monitoring, by leveraging automatic procedures relating to the following aspects:  Configuration of system components;  Performance and availability of system components;  Response time to malfunctions and security incidents; and  Recovery time (time until completion of error handling).",High
PM-04.8,"The CSP shall automatically monitor Identified violations and discrepancies, and these shall be automatically reported to the responsible personnel or system components of the Cloud Service Provider for prompt assessment and action December 2020",High
PM-05.1,The CSP shall define exit strategies for the purchase of services where the risk assessment of the suppliers identified a very high dependency,Basic
PM-05.2,"The exit strategies shall be aligned with operational continuity plans and include the following aspects:  Analysis of the potential costs, impacts, resources, and timing of the transition of a purchased service to an alternative service provider or supplier;  Definition and allocation of roles, responsibilities, and sufficient resources to perform the activities for a transition;  Definition of success criteria for the transition;  Definition of indicators for service performance monitoring, which should initiate the withdrawal from the service if the results are unacceptable. December 2020",Substantial
IM-01.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 containing technical and organisational safeguards to ensure a fast, effective and proper response to all known security incidents:",Basic
IM-01.2,"The policies and procedures shall include guidelines for the classification, prioritization, and escalation of security incidents and creates interfaces for incident management and business continuity management",Basic
IM-01.3,"The CSP shall establish a Computer Emergency Response Team (CERT), which contributes to the coordinated resolution of security incidents",Basic
IM-01.4,The CSP shall inform the customers affected by security incidents in a timely and appropriate manner,Substantial
IM-01.5,The incident management policy shall include procedures as to how the data of a suspicious system can be collected in a conclusive manner in the event of a security incident,Substantial
IM-01.6,The incident management policy shall include analysis plans for typical security incidents,High
IM-01.7,The incident management policy shall include an evaluation methodology so that the collected information does not lose its evidential value in any subsequent legal assessment,High
IM-01.8,The incident management policy shall include provisions for the regular testing of the incident response capabilities to determine the overall effectiveness of the capabilities and to identify potential deficiencies,High
IM-02.1,"The CSP shall classify, prioritize, and perform root-cause analyses for events that could constitute a security incident, using their subject matter experts and external security providers where appropriate",Basic
IM-02.2,"The CSP shall maintain a catalogue that clearly identifies the security incidents that affect customer data, and use that catalogue to classify incidents",Substantial
IM-02.3,"The incident classification mechanism shall include provisions to correlate events. In addition, these correlated events shall themselves be assessed and classified according to their criticality",Substantial
IM-02.4,"The CSP shall simulate the identification, analysis, and defence of security incidents and attacks at least once a year through appropriate tests and exercises",High
IM-02.5,The CSP shall monitor the processing of incident to verify the application of incident management policies and procedures,High
IM-03.1,"The CSP shall document the implemented measures after a security incident has been processed and, following the contractual agreements, the document shall be sent to the affected customers for final acknowledgment or, if applicable, as confirmation.",Basic
IM-03.2,The CSP shall make information on security incidents or confirmed security breaches available to all affected customers,Basic
IM-03.3,"The CSP shall continuously report on security incidents to affected customers until the security incident is closed and a solution is applied and documented, in accordance to the defined SLA and contractual agreements",Substantial
IM-03.4,The CSP shall allow customers to actively approve the solution before automatically approving it after a certain period,High
IM-04.1,The CSP shall inform employees and external business partners of their contractual obligations to report all security events that become known to them and are directly related to the cloud service,Basic
IM-04.2,"The CSP shall not take any negative action against those who communicate ""false reports"" of events that do not subsequently turn out to be incidents, and shall make that policy known as part of its communication to employees and external business partners",Basic
IM-04.3,"The CSP shall define, make public and implement a single point of contact to report security events and vulnerabilities",Basic
IM-05.1,"The CSP shall periodically inform its customers on the status of the incidents affecting the CSC, or, where appropriate and necessary, involve them in the resolution, according to the contractual agreements",Basic
IM-05.2,"As soon as an incident has been closed, The CSP shall inform its customers about the actions taken, according to the contractual agreements",Basic
IM-06.1,"The CSP shall perform an analysis of security incidents to identify recurrent or significant incidents and to identify the need for further protection, if needed with the support of external bodies",Basic
IM-06.2,The CSP shall only contract supporting external bodies that are qualified incident response service providers or government agencies,Basic
IM-06.3,"The CSP shall define, implement and maintain a knowledge repository of security incidents and the measures taken to solve them, as well as information related to the assets that these incidents affected, and use that information to enrich the classification catalogue",Substantial
IM-06.4,The intelligence gained from the incident management and gathered in the knowledge repository shall be used to identify recurring incidents or potential significant incidents and to determine the need for advanced safeguards and implement them December 2020,Substantial
IM-07.1,The CSP shall document and implement a procedure to archive all documents and evidence that provide details on security incidents,Basic
IM-07.2,The documents and evidence shall be archived in a way that could be used as evidence in court,Substantial
IM-07.3,"When the CSP requires additional expertise in order to preserve the evidences and secure the chain of custody on a security incident, the CSP shall contract a qualified incident response service provider only",Substantial
IM-07.4,The CSP shall implement security mechanisms and processes for protecting all the information related to security incidents in accordance with criticality levels and legal requirements in effect,Basic
IM-07.5,The service provider shall establish an integrated team of forensic/incident responder personnel specifically trained on evidence preservation and chain of custody management December 2020,High
BC-01.1,"The CSP shall document, communicate and make available policies and procedures establishing the strategy and guidelines to ensure business continuity and contingency management",Basic
BC-01.2,"The CSP shall name (a member of) top management as the process owner of business continuity and emergency management, and responsible for establishing the process within the company following the strategy as well as ensuring compliance with the guidelines, and for ensuring that sufficient resources are made available for an effective process",Substantial
BC-01.3,The business continuity and contingency management process owner shall ensure that sufficient resources are made available for an effective process,Substantial
BC-02.1,The policies and procedures for business continuity and contingency management shall include the need to perform a business impact analysis to determine the impact of any malfunction to the cloud service or enterprise.,Basic
BC-02.2,"The business impact analysis policies and procedures shall consider at least the following aspects:  Possible scenarios based on a risk analysis;  Identification of critical products and services;  Identification of dependencies, including processes (including resources required), applications, business partners and third parties;  Identification of threats to critical products and services;  Identification of effects resulting from planned and unplanned malfunctions and changes over time;  Determination of the maximum acceptable duration of malfunctions;  Identification of restoration priorities;  Determination of time targets for the resumption of critical products and services within the maximum acceptable time period (RTO);  Determination of time targets for the maximum reasonable period during which data can be lost and not recovered (RPO); and  Estimation of the resources needed for resumption.",Substantial
BC-02.3,"The business impact analysis resulting from these policies and procedures shall be reviewed at regular intervals, at least once a year, or after significant organisational or environment- related changes.",Substantial
BC-03.1,"The CSP shall document and implement a business continuity plan and contingency plans to ensure continuity of the services, taking into account information security constraints and the results of the business impact analysis",Basic
BC-03.2,The business continuity plan and contingency plans shall be based on industry-accepted standards and shall document which standards are being used,Substantial
BC-03.3,"The business continuity plan and contingency plans shall cover at least the following aspects:  Defined purpose and scope, including relevant business processes and dependencies;  Accessibility and comprehensibility of the plans for persons who are to act accordingly;  Ownership by at least one designated person responsible for review, updating and approval;  Defined communication channels, roles and responsibilities including notification of the customer;  Recovery procedures, manual interim solutions and reference information (taking into account prioritisation in the recovery of cloud infrastructure components and services and alignment with customers);  Methods for putting the plans into effect;  Continuous process improvement; and  Interfaces to Security Incident Management.",Substantial
BC-03.4,"The business continuity plan shall be reviewed at regular intervals, at least once a year, or after significant organisational or environment-related changes.",Substantial
BC-04.1,"The business impact analysis, business continuity plan and contingency plans shall be tested at regular intervals (at least once a year) or after an update",Substantial
BC-04.2,The tests shall be documented and the results considered to update the business continuity plan and to define future operational continuity measures,Substantial
BC-04.3,"The tests shall involve CSCs and relevant third parties, such as external service providers and suppliers",Substantial
BC-04.4,"In addition to the tests, exercises shall also be carried out, which are, among other things, based on scenarios resulting from security incidents that have already occurred in the past December 2020",High
CO-01.1,"The CSP shall document the legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service",Basic
CO-01.2,The CSP shall document and implement procedures for complying to these contractual requirements,Substantial
CO-01.3,The CSP shall provide these procedures when requested by a CSC,High
CO-01.4,"The CSP shall document and implement an active monitoring of the legal, regulatory and contractual requirements that affect the service",High
CO-02.1,"The CSP shall document, communicate, make available and implement policies and procedures for planning and conducting audits, made in accordance with ISP-02 and addressing at least the following aspects:  Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities;  Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and  Logging and monitoring of activities.",Basic
CO-02.2,"The CSP shall document and implement an audit programme over three years that defines the scope and the frequency of the audits in accordance with the management of change, policies, and the results of the risk assessment",Substantial
CO-02.3,The CSP shall grant its CSCs contractually guaranteed information and define their audit rights,High
CO-03.1,The CSP shall perform at regular intervals and at least annually internal audits by subject matter experts to check the compliance of their internal security control system to the requirements defined in CO-01.,Basic
CO-03.2,The internal audit shall check the compliance with the requirements of the scheme at the,Basic
CO-03.3,Identified vulnerabilities and deviations shall be subject to risk assessment in accordance with the risk management procedure (cf. RM-01) and follow-up measures are defined and tracked (cf. OPS-17).,Substantial
CO-03.4,Internal audits shall be supplemented by procedures to automatically monitor compliance with applicable requirements of policies and instructions,High
CO-03.5,"The CSP shall implement automated monitoring to identify vulnerabilities and deviations, which shall be automatically reported to the appropriate CSP’s subject matter experts for immediate assessment and action",High
CO-03.6,"The CSP shall document specifically deviations that are nonconformities from the EUCS requirements, including an assessment of their severity, and keep track of their remediation",Basic
CO-03.7,The CSP shall inform CSCs who operate an EUCS-certified cloud service of nonconformities,Substantial
CO-04.1,The CSP shall regular inform its top management about the information security performance within the scope of the internal control system.,Basic
CO-04.2,This information shall be included in the management review of the internal control system that is performed at least once a year December 2020,Substantial
DOC-01.1,"The CSP shall make publicly available guidelines and recommendations to assist CSCs with the secure configuration, installation, deployment, operation and maintenance of the cloud service provided",Basic
DOC-01.2,"The guidelines and recommendations for the secure use of the cloud service shall cover at least the following aspects, where applicable to the cloud service:  Instructions for secure configuration;  Information sources on known vulnerabilities and update mechanisms;  Error handling and logging mechanisms;  Authentication mechanisms;  Roles and rights concept including combinations that result in an elevated risk;  Services and functions for administration of the cloud service by privileged users, and  Complementary Customer Controls (CCCs).",Substantial
DOC-01.3,The CSP shall maintain guidelines and recommendations applicable to the cloud service in the version intended for productive use,Basic
DOC-01.4,The CSP shall describe in the user documentation all risks shared with the customer,Substantial
DOC-01.5,"The CSP shall regularly analyse how the CSCs apply the security recommendations and CCCs, and take measure to encourage compliance based on the defined shared responsibility model",High
DOC-02.1,The CSP shall operate or refer to a publicly available and daily updated online register of known vulnerabilities that affect the provided cloud service,Basic
DOC-02.2,"The online register of vulnerabilities shall also include known vulnerabilities that affect assets provided by the CSP that the cloud customers have to install, provide or operate themselves under the customers responsibility",Substantial
DOC-02.3,The presentation of the vulnerabilities shall follow an industry-accepted scoring system for the description of vulnerabilities,Substantial
DOC-02.4,The information contained in the online register shall include sufficient information to form a suitable basis for risk assessment and possible follow-up measures on the part of cloud users,Substantial
DOC-02.5,"For each vulnerability, the online register shall indicate whether software updates are available, when they will be rolled out and whether they will be deployed by the CSP, the CSC or both",Substantial
DOC-02.6,"The CSP shall equip with automatic update mechanisms the assets it provides that must be installed, provided or operated by CSCs within their area of responsibility",High
DOC-03.1,"The CSP shall provide comprehensible and transparent information on:  Its jurisdiction; and  System component locations, including its subcontractors, where the cloud customer's data is processed, stored and backed up.",Basic
DOC-03.2,The CSP shall provide sufficient information for subject matter experts of the CSC to determine to assess the suitability of the cloud service’s jurisdiction and locations from a legal and regulatory perspective,Basic
DOC-03.3,"The CSP shall provide information about  The locations from administration and supervision may be carried out on the cloud service;  The locations to which any cloud customer data, meta-data or derived data may be transferred, processed or stored.",Substantial
DOC-03.4,"The CSP shall document the locations from which it conducts support operations for clients, and it shall document the list of operations that can be carried by client support in each location December 2020",High
DOC-04.1,"The CSP shall provide a justification for the assurance level targeted in the certification, based on the risks associated to the cloud service’s targeted users and use cases",Basic
DOC-04.2,"If the CSP claims compliance to security profiles for its cloud service, the justification shall cover the security profiles.",Basic
DOC-04.3,"A summary of the justification shall be made publicly available as part of the certification package, which shall allow CSCs to perform a high-level analysis about their own use cases",Basic
DOC-04.4,The justification shall be based on a risk analysis according to RM-01,Substantial
DOC-05.1,"If the CSP expects CSCs to certify with EUCS their own services based on its cloud service using composition, it shall provide specific documentation for them, based on the Complementary Customer Controls (CCCs) that they have defined",Basic
DOC-05.2,The CSP shall include in the description provided for each CCC a list of actionable,Basic
DOC-05.3,The CSP shall make the documentation defined in DOC-05.1 available to cloud customers upon request,Basic
DOC-05.4,The CSP shall label each requirement associated to a CCC with the lowest EUCS assurance level for which it is required,Substantial
DOC-06.1,If the CSP expects CSCs to certify with EUCS their own services based on its cloud service contribute (if any) to the fulfilment of the requirement by the cloud service developed by the CSC using the CSP as subservice organization.,Basic
DOC-06.2,The CSP shall make the documentation defined in DOC-06.1 available to cloud customers upon request,Basic
DOC-06.3,The CSP shall justify the contributions in a companion document December 2020,Substantial
INQ-01.1,The CSP shall subject investigation requests from government agencies to a legal assessment by subject matter experts,Basic
INQ-01.2,The legal assessment shall determine whether the government agency has an applicable and legally valid basis and what further steps need to be taken,Basic
INQ-02.1,"The CSP shall inform the affected CSC(s) without undue delay, unless the applicable legal basis on which the government agency is based prohibits this or there are clear indications of illegal actions in connection with the use of the cloud service",Basic
INQ-03.1,The CSP shall only provide access to or disclose cloud customer data in the context of government investigation requests after the CSP’s legal assessment (cf. INQ-01) has shown that an applicable and valid legal basis exists and that the investigation request must be granted on that basis.,Basic
INQ-03.2,The CSP shall document and implement procedures to ensure that government agencies only have access to the data they need to investigate,Basic
INQ-03.3,"When no clear limitation of the data is possible, the CSP shall anonymise or pseudonymise the data so that government agencies can only assign it to those cloud customers who are subject of the investigation request",Substantial
INQ-03.4,The CSP shall automatically monitor the accesses performed by or on behalf of investigators to ensure that they correspond to the determined legal basis December 2020,High
PSS-01.1,"The CSP shall offer to their CSCs error handling and logging mechanisms that allow them to obtain security-related information about the security status of the cloud service as well as the data, services or functions it provides",Basic
PSS-01.2,"The information provided shall be detailed enough to allow cloud users to check the following aspects, insofar as they are applicable to the cloud service:  Which data, services or functions available to the cloud user within the cloud service, have been accessed by whom and when (Audit Logs);  Malfunctions during processing of automatic or manual actions; and  Changes to security-relevant configuration parameters, error handling and logging mechanisms, user authentication, action authorisation, cryptography, and communication security.",Substantial
PSS-01.3,The logged information shall be protected from unauthorised access and modification and can be deleted by the CSC,Substantial
PSS-01.4,"When the CSC is responsible for the activation or type and scope of logging, the CSP shall provide appropriate logging capabilities",Substantial
PSS-01.5,The CSP shall make the information available to CSCs via documented interfaces that are suitable for further processing this information as part of their Security Information and Event Management (SIEM). December 2020,High
PSS-02.1,A suitable session management system shall be used that at least corresponds to the state- of-the-art and is protected against known attacks,Basic
PSS-02.2,The session management system shall include mechanisms that invalidate a session after it has been detected as inactive.,Substantial
PSS-02.3,"If inactivity is detected by time measurement, the time interval shall be configurable by the CSP or – if technically possible – by the CSC",Substantial
PSS-03.1,The CSP shall ensure the confidentiality of the cloud user data by suitable procedures when offering functions for software-defined networking (SDN),Basic
PSS-03.2,The CSP shall validate the functionality of the SDN functions before providing new SDN features to CSCs or modifying existing SDN features,Basic
PSS-03.3,The CSP shall ensure that the configuration of networks matches network security policies regardless of the means used to create the configuration,Substantial
PSS-04.1,"The CSP shall ensure the following aspects if CSCs operate virtual machines or containers with the cloud service:  The CSC can restrict the selection of images of virtual machines or containers according to his specifications, so that users of this CSC can only launch the images or containers released according to these restrictions.  In addition, these images provided by the CSP are hardened according to generally accepted industry standards.",Basic
PSS-04.2,"The CSP shall ensure the following aspects if CSCs operate virtual machines or containers with the cloud service:  If the CSP provides images of virtual machines or containers to the CSC, the CSP appropriately inform the CSC of the changes made to the previous version.",Substantial
PSS-04.3,An integrity check shall be performed and automatically monitored to detect image manipulations and reported to the CSC at start-up and runtime of virtual machine or container images,High
PSS-05.1,The CSP shall allow the CSC to specify the locations (location/country) of the data processing and storage including data backups according to the contractually available options,Substantial
PSS-05.2,All CSP commitments regarding locations of data processing and storage shall be enforced by the cloud service architecture,Substantial
